"Id","R","Nome","Squadra","Qt"
7,"D","CONTI","Milan",5
8,"D","PEZZELLA GIU.","Parma",5
9,"D","FAZIO","Roma",5
10,"D","JUAN JESUS","Roma",5
11,"D","BERESZYNSKI","Sampdoria",5
12,"D","MURRU","Torino",5
13,"D","CHIRICHES","Sassuolo",5
14,"D","MAGNANI","Verona",5
15,"D","FERRER","Spezia",5
16,"D","SAMIR","Udinese",5
17,"D","TROOST-EKONG","Udinese",5
18,"D","CETIN","Verona",5
19,"D","OUWEJAN","Udinese",5
20,"D","MAGALLAN","Crotone",5
21,"D","RISPOLI","Crotone",5
22,"D","CALDARA","Atalanta",6
23,"D","CALDIROLA","Benevento",6
24,"D","LETIZIA","Benevento",6
25,"D","GHIGLIONE","Genoa",6
26,"D","DEMIRAL","Juventus",6
27,"D","RUGANI","Juventus",6
28,"D","HYSAJ","Napoli",6
29,"D","IACOPONI","Parma",6
30,"D","DEPAOLI","Sampdoria",6
31,"D","TONELLI","Sampdoria",6
32,"D","KYRIAKOPOULOS","Sassuolo",6
33,"D","MULDUR","Sassuolo",6
34,"D","ROGERIO","Sassuolo",6
35,"D","ERLIC","Spezia",6
36,"D","LYANCO","Torino",6
37,"D","DE MAIO","Udinese",6
38,"D","RODRIGO BECAO","Udinese",6
39,"D","ZAPPACOSTA","Genoa",6
40,"D","BANI","Bologna",7
41,"D","DANILO LAR.","Bologna",7
42,"D","DIJKS","Bologna",7
43,"D","CACERES","Fiorentina",7
44,"D","MUSACCHIO","Milan",7
45,"D","RRAHMANI","Napoli",7
46,"D","DARMIAN","Parma",7
47,"D","AUGELLO","Sampdoria",7
48,"D","YOSHIDA","Sampdoria",7
49,"D","AYHAN","Sassuolo",7
50,"D","MARLON","Sassuolo",7
51,"D","TOLJAN","Sassuolo",7
52,"D","BREMER","Torino",7
53,"D","GUNTER","Verona",7
54,"D","PICCINI","Atalanta",7
55,"D","GLIK","Benevento",8
56,"D","TOMIYASU","Bologna",8
57,"D","CEPPITELLI","Cagliari",8
58,"D","BIRAGHI","Fiorentina",8
59,"D","LIROLA","Fiorentina",8
60,"D","D'AMBROSIO","Inter",8
61,"D","SKRINIAR","Inter",8
62,"D","LUIZ FELIPE","Lazio",8
63,"D","RADU","Lazio",8
64,"D","KJAER","Milan",8
65,"D","MARIO RUI","Napoli",8
66,"D","BRUNO ALVES","Parma",8
67,"D","COLLEY","Sampdoria",8
68,"D","FERRARI G.","Sassuolo",8
69,"D","ANSALDI","Torino",8
70,"D","VOJVODA","Torino",8
71,"D","NUYTINCK","Udinese",8
72,"D","DE SILVESTRI","Bologna",8
73,"D","DJIMSITI","Atalanta",9
74,"D","PALOMINO","Atalanta",9
75,"D","GODIN","Inter",9
76,"D","ROMERO","Atalanta",9
77,"D","MAKSIMOVIC","Napoli",9
78,"D","GAGLIOLO","Parma",9
79,"D","BRUNO PERES","Roma",9
